    energy(eV)      sigma_a(b)
    2.200000e+07    2.474000e-05
    2.231038e+07    2.464240e-05
    2.262514e+07    2.454340e-05
    2.294434e+07    2.444300e-05
    2.326804e+07    2.434120e-05
    2.359631e+07    2.423790e-05
    2.392921e+07    2.413320e-05
    2.426681e+07    2.402700e-05
    2.460917e+07    2.391930e-05
    2.495637e+07    2.381010e-05
    2.497999e+07    2.380270e-05
    2.533241e+07    2.369810e-05
    2.568981e+07    2.359200e-05
    2.605225e+07    2.348440e-05
    2.641980e+07    2.337530e-05
    2.679253e+07    2.326470e-05
    2.717053e+07    2.315250e-05
    2.755385e+07    2.303870e-05
    2.794259e+07    2.292330e-05
    2.833681e+07    2.280630e-05
    2.873659e+07    2.268760e-05
    2.914201e+07    2.256730e-05
    2.955315e+07    2.244520e-05
    2.997010e+07    2.232150e-05
    3.039292e+07    2.219600e-05
    3.082171e+07    2.206870e-05
    3.125655e+07    2.193960e-05
    3.169752e+07    2.180870e-05
    3.214472e+07    2.167600e-05
    3.259822e+07    2.154140e-05
    3.298484e+07    2.142660e-05
    3.345020e+07    2.130270e-05
    3.392212e+07    2.117710e-05
    3.440070e+07    2.104970e-05
    3.488604e+07    2.092060e-05
    3.537822e+07    2.078960e-05
    3.587734e+07    2.065670e-05
    3.638350e+07    2.052200e-05
    3.689681e+07    2.038540e-05
    3.698648e+07    2.036150e-05
    3.750830e+07    2.024140e-05
    3.803747e+07    2.011960e-05
    3.857411e+07    1.999610e-05
    3.911832e+07    1.987090e-05
    3.967021e+07    1.974390e-05
    4.000000e+07    1.966800e-05
    4.056433e+07    1.955630e-05
    4.113662e+07    1.944290e-05
    4.171698e+07    1.932800e-05
    4.230553e+07    1.921150e-05
    4.290239e+07    1.909330e-05
    4.350766e+07    1.897350e-05
    4.400000e+07    1.887600e-05
    4.462076e+07    1.876790e-05
    4.525028e+07    1.865830e-05
    4.588868e+07    1.854710e-05
    4.653609e+07    1.843440e-05
    4.719263e+07    1.832000e-05
    4.785843e+07    1.820410e-05
    4.853363e+07    1.808650e-05
    4.921835e+07    1.796730e-05
    4.991273e+07    1.784630e-05
    5.061691e+07    1.772370e-05
    5.099020e+07    1.765870e-05
    5.170958e+07    1.754880e-05
    5.243910e+07    1.743730e-05
    5.317893e+07    1.732430e-05
    5.392918e+07    1.720970e-05
    5.469003e+07    1.709350e-05
    5.546161e+07    1.697560e-05
    5.624407e+07    1.685600e-05
    5.699123e+07    1.674190e-05
    5.779527e+07    1.663510e-05
    5.861066e+07    1.652680e-05
    5.943755e+07    1.641700e-05
    6.027611e+07    1.630570e-05
    6.112649e+07    1.619270e-05
    6.198888e+07    1.607820e-05
    6.286343e+07    1.596210e-05
    6.299206e+07    1.594500e-05
    6.388077e+07    1.584230e-05
    6.478201e+07    1.573810e-05
    6.569597e+07    1.563250e-05
    6.662282e+07    1.552530e-05
    6.756275e+07    1.541670e-05
    6.851594e+07    1.530650e-05
    6.948257e+07    1.519480e-05
    7.000000e+07    1.513500e-05
    7.098757e+07    1.503470e-05
    7.198908e+07    1.493300e-05
    7.300472e+07    1.482980e-05
    7.403468e+07    1.472520e-05
    7.507918e+07    1.461910e-05
    7.613841e+07    1.451150e-05
    7.699351e+07    1.442470e-05
    7.807975e+07    1.432890e-05
    7.918131e+07    1.423180e-05
    8.029842e+07    1.413330e-05
    8.143128e+07    1.403340e-05
    8.258013e+07    1.393210e-05
    8.374519e+07    1.382940e-05
    8.492668e+07    1.372520e-05
    8.499412e+07    1.371930e-05
    8.619323e+07    1.362880e-05
    8.740926e+07    1.353700e-05
    8.864245e+07    1.344390e-05
    8.989304e+07    1.334950e-05
    9.116126e+07    1.325370e-05
    9.244739e+07    1.315660e-05
    9.299462e+07    1.311530e-05
    9.430661e+07    1.302970e-05
    9.563711e+07    1.294280e-05
    9.698637e+07    1.285470e-05
    9.835468e+07    1.276540e-05
    9.974228e+07    1.267480e-05
    1.000000e+08    1.265800e-05
    1.014108e+08    1.257980e-05
    1.028415e+08    1.250060e-05
    1.042925e+08    1.242020e-05
    1.057638e+08    1.233870e-05
    1.072560e+08    1.225600e-05
    1.087692e+08    1.217220e-05
    1.100000e+08    1.210400e-05
    1.115519e+08    1.203260e-05
    1.131257e+08    1.196020e-05
    1.147217e+08    1.188680e-05
    1.163402e+08    1.181240e-05
    1.179816e+08    1.173680e-05
    1.196461e+08    1.166030e-05
    1.200000e+08    1.164400e-05
    1.216930e+08    1.158030e-05
    1.234099e+08    1.151580e-05
    1.251509e+08    1.145030e-05
    1.269166e+08    1.138390e-05
    1.287072e+08    1.131660e-05
