    energy(eV)      sigma_t(b)
    1.331172e+06    4.854810e+00
    1.333242e+06    4.630592e+00
    1.335313e+06    4.425007e+00
    1.337383e+06    4.237919e+00
    1.339453e+06    4.068479e+00
    1.341523e+06    3.915451e+00
    1.343594e+06    3.777422e+00
    1.345664e+06    3.652950e+00
    1.347734e+06    3.540630e+00
    1.350840e+06    3.393116e+00
    1.353945e+06    3.264041e+00
    1.356016e+06    3.188402e+00
    1.360156e+06    3.056563e+00
    1.364297e+06    2.946078e+00
    1.368437e+06    2.852606e+00
    1.372578e+06    2.772755e+00
    1.376719e+06    2.703904e+00
    1.382930e+06    2.617692e+00
    1.385000e+06    2.591480e+00
    1.393281e+06    2.503652e+00
    1.401563e+06    2.433029e+00
    1.409844e+06    2.374816e+00
    1.422265e+06    2.304698e+00
    1.434688e+06    2.246906e+00
    1.451250e+06    2.185143e+00
    1.467812e+06    2.134393e+00
    1.484375e+06    2.091146e+00
    1.517500e+06    2.019263e+00
    1.550625e+06    1.959796e+00
    1.592031e+06    1.897825e+00
    1.616875e+06    1.870415e+00
    1.625156e+06    1.868777e+00
    1.629297e+06    1.872858e+00
    1.633438e+06    1.884818e+00
    1.635508e+06    1.896654e+00
    1.638095e+06    1.922789e+00
    1.639648e+06    1.948496e+00
    1.640684e+06    1.973449e+00
    1.641978e+06    2.018422e+00
    1.642754e+06    2.056233e+00
    1.643271e+06    2.088415e+00
    1.643789e+06    2.127912e+00
    1.644307e+06    2.177006e+00
    1.644954e+06    2.256473e+00
    1.645342e+06    2.317648e+00
    1.645730e+06    2.392711e+00
    1.646118e+06    2.485217e+00
    1.646377e+06    2.559627e+00
    1.646636e+06    2.646701e+00
    1.646895e+06    2.749346e+00
    1.647153e+06    2.870241e+00
    1.647347e+06    2.976207e+00
    1.647542e+06    3.098503e+00
    1.647736e+06    3.239147e+00
    1.647930e+06    3.402404e+00
    1.648124e+06    3.591589e+00
    1.648253e+06    3.735019e+00
    1.648383e+06    3.894022e+00
    1.648512e+06    4.070442e+00
    1.648642e+06    4.266372e+00
    1.648770e+06    4.483413e+00
    1.648900e+06    4.724151e+00
    1.649029e+06    4.990102e+00
    1.649159e+06    5.282751e+00
    1.649289e+06    5.603034e+00
    1.649418e+06    5.949815e+00
    1.649612e+06    6.516571e+00
    1.650046e+06    7.856547e+00
    1.650186e+06    8.242237e+00
    1.650278e+06    8.463228e+00
    1.650371e+06    8.649442e+00
    1.650464e+06    8.791037e+00
    1.650557e+06    8.882436e+00
    1.650649e+06    8.919358e+00
    1.650742e+06    8.900756e+00
    1.650835e+06    8.826986e+00
    1.650928e+06    8.701452e+00
    1.651021e+06    8.529218e+00
    1.651160e+06    8.201617e+00
    1.651299e+06    7.809953e+00
    1.651763e+06    6.385206e+00
    1.651901e+06    5.981395e+00
    1.652041e+06    5.606660e+00
    1.652181e+06    5.263523e+00
    1.652319e+06    4.953153e+00
    1.652458e+06    4.671875e+00
    1.652598e+06    4.419445e+00
    1.652736e+06    4.194421e+00
    1.652876e+06    3.992478e+00
    1.652969e+06    3.870553e+00
    1.653154e+06    3.652200e+00
    1.653340e+06    3.461983e+00
    1.653525e+06    3.297782e+00
    1.653711e+06    3.154605e+00
    1.653896e+06    3.030143e+00
    1.654082e+06    2.920873e+00
    1.654268e+06    2.824837e+00
    1.654546e+06    2.701627e+00
    1.654824e+06    2.598519e+00
    1.655103e+06    2.511591e+00
    1.655381e+06    2.439253e+00
    1.655566e+06    2.395076e+00
    1.655937e+06    2.320410e+00
    1.656309e+06    2.258623e+00
    1.656680e+06    2.207014e+00
    1.657236e+06    2.144446e+00
    1.657793e+06    2.094520e+00
    1.658164e+06    2.067106e+00
    1.658906e+06    2.022215e+00
    1.659648e+06    1.987245e+00
    1.660762e+06    1.948140e+00
    1.661875e+06    1.918798e+00
    1.663359e+06    1.890607e+00
    1.664844e+06    1.870071e+00
    1.667813e+06    1.842244e+00
    1.672265e+06    1.817520e+00
    1.679688e+06    1.792630e+00
    1.691562e+06    1.768585e+00
    1.768750e+06    1.652774e+00
    1.792500e+06    1.608335e+00
    1.816250e+06    1.549018e+00
    1.819590e+06    1.550517e+00
    1.820703e+06    1.554721e+00
    1.822559e+06    1.572292e+00
    1.823672e+06    1.592355e+00
    1.824414e+06    1.612682e+00
    1.825156e+06    1.640814e+00
    1.825898e+06    1.679643e+00
    1.826456e+06    1.718675e+00
    1.827012e+06    1.768616e+00
    1.827383e+06    1.809966e+00
    1.827754e+06    1.859152e+00
    1.828125e+06    1.917769e+00
    1.828496e+06    1.987737e+00
    1.828960e+06    2.094041e+00
    1.829238e+06    2.170418e+00
    1.829517e+06    2.257842e+00
    1.829795e+06    2.357507e+00
    1.830073e+06    2.470761e+00
    1.830352e+06    2.599185e+00
    1.830630e+06    2.743677e+00
    1.830908e+06    2.905019e+00
    1.831094e+06    3.022803e+00
    1.831465e+06    3.278608e+00
    1.832022e+06    3.699787e+00
    1.832671e+06    4.197588e+00
    1.832949e+06    4.384358e+00
    1.833228e+06    4.540763e+00
    1.833413e+06    4.623791e+00
    1.833599e+06    4.687619e+00
    1.833784e+06    4.731195e+00
    1.833969e+06    4.754206e+00
    1.834062e+06    4.758204e+00
    1.834341e+06    4.741285e+00
    1.834619e+06    4.686098e+00
    1.834805e+06    4.630689e+00
    1.835176e+06    4.489233e+00
    1.835547e+06    4.321442e+00
    1.836475e+06    3.873234e+00
    1.837031e+06    3.623777e+00
    1.837402e+06    3.473477e+00
    1.837773e+06    3.336639e+00
    1.838145e+06    3.212830e+00
    1.838516e+06    3.101410e+00
    1.839072e+06    2.955444e+00
    1.839629e+06    2.830323e+00
    1.840000e+06    2.757624e+00
    1.840547e+06    2.663207e+00
    1.841094e+06    2.581639e+00
    1.841641e+06    2.510934e+00
    1.842461e+06    2.421951e+00
    1.843281e+06    2.347887e+00
    1.844102e+06    2.287006e+00
    1.845469e+06    2.205750e+00
    1.846562e+06    2.154867e+00
    1.847656e+06    2.113318e+00
    1.849297e+06    2.064679e+00
    1.850937e+06    2.026870e+00
    1.853125e+06    1.990309e+00
    1.855313e+06    1.964778e+00
    1.857500e+06    1.947625e+00
    1.860781e+06    1.934796e+00
    1.861875e+06    1.932546e+00
    1.865156e+06    1.935896e+00
    1.868437e+06    1.949618e+00
    1.871719e+06    1.977009e+00
    1.873906e+06    2.002766e+00
    1.876094e+06    2.035876e+00
    1.877188e+06    2.054529e+00
    1.879375e+06    2.100754e+00
    1.881563e+06    2.157664e+00
    1.883750e+06    2.226936e+00
    1.885938e+06    2.310242e+00
    1.888125e+06    2.408867e+00
    1.890312e+06    2.523081e+00
    1.892500e+06    2.651127e+00
    1.896875e+06    2.923969e+00
    1.899063e+06    3.045313e+00
    1.900156e+06    3.095340e+00
    1.901250e+06    3.135480e+00
    1.902344e+06    3.164175e+00
    1.903438e+06    3.180285e+00
    1.904531e+06    3.183289e+00
    1.905625e+06    3.173332e+00
    1.906719e+06    3.151191e+00
    1.908359e+06    3.097294e+00
    1.910000e+06    3.026331e+00
    1.912974e+06    2.868733e+00
    1.917647e+06    2.613062e+00
    1.920195e+06    2.487177e+00
    1.922744e+06    2.377596e+00
    1.925293e+06    2.281523e+00
    1.927842e+06    2.200316e+00
    1.930391e+06    2.129848e+00
    1.933789e+06    2.051925e+00
    1.937187e+06    1.988037e+00
    1.940586e+06    1.935174e+00
    1.943984e+06    1.890958e+00
    1.949082e+06    1.837510e+00
    1.950781e+06    1.821575e+00
    1.957578e+06    1.769768e+00
    1.964375e+06    1.729508e+00
    1.971172e+06    1.697128e+00
    1.977969e+06    1.670291e+00
    1.991562e+06    1.627558e+00
