    energy(eV)      sigma_s(b)
    1.650928e+06    8.701352e+00
    1.651021e+06    8.529118e+00
    1.651160e+06    8.201517e+00
    1.651299e+06    7.809853e+00
    1.651763e+06    6.385106e+00
    1.651901e+06    5.981295e+00
    1.652041e+06    5.606560e+00
    1.652181e+06    5.263423e+00
    1.652319e+06    4.953053e+00
    1.652458e+06    4.671775e+00
    1.652598e+06    4.419345e+00
    1.652736e+06    4.194321e+00
    1.652876e+06    3.992378e+00
    1.652969e+06    3.870453e+00
    1.653154e+06    3.652100e+00
    1.653340e+06    3.461883e+00
    1.653525e+06    3.297682e+00
    1.653711e+06    3.154505e+00
    1.653896e+06    3.030043e+00
    1.654082e+06    2.920773e+00
    1.654268e+06    2.824737e+00
    1.654546e+06    2.701527e+00
    1.654824e+06    2.598419e+00
    1.655103e+06    2.511491e+00
    1.655381e+06    2.439153e+00
    1.655566e+06    2.394976e+00
    1.655937e+06    2.320310e+00
    1.656309e+06    2.258523e+00
    1.656680e+06    2.206914e+00
    1.657236e+06    2.144346e+00
    1.657793e+06    2.094420e+00
    1.658164e+06    2.067006e+00
    1.658906e+06    2.022115e+00
    1.659648e+06    1.987145e+00
    1.660762e+06    1.948040e+00
    1.661875e+06    1.918698e+00
    1.663359e+06    1.890507e+00
    1.664844e+06    1.869971e+00
    1.667813e+06    1.842144e+00
    1.672265e+06    1.817420e+00
    1.679688e+06    1.792530e+00
    1.691562e+06    1.768485e+00
    1.768750e+06    1.652674e+00
    1.792500e+06    1.608235e+00
    1.816250e+06    1.548918e+00
    1.819590e+06    1.550417e+00
    1.820703e+06    1.554621e+00
    1.822559e+06    1.572192e+00
    1.823672e+06    1.592255e+00
    1.824414e+06    1.612582e+00
    1.825156e+06    1.640714e+00
    1.825898e+06    1.679543e+00
    1.826456e+06    1.718575e+00
    1.827012e+06    1.768516e+00
    1.827383e+06    1.809866e+00
    1.827754e+06    1.859052e+00
    1.828125e+06    1.917669e+00
    1.828496e+06    1.987637e+00
    1.828960e+06    2.093941e+00
    1.829238e+06    2.170318e+00
    1.829517e+06    2.257742e+00
    1.829795e+06    2.357407e+00
    1.830073e+06    2.470661e+00
    1.830352e+06    2.599085e+00
    1.830630e+06    2.743577e+00
    1.830908e+06    2.904919e+00
    1.831094e+06    3.022703e+00
    1.831465e+06    3.278508e+00
    1.832022e+06    3.699687e+00
    1.832671e+06    4.197488e+00
    1.832949e+06    4.384258e+00
    1.833228e+06    4.540663e+00
    1.833413e+06    4.623691e+00
    1.833599e+06    4.687519e+00
    1.833784e+06    4.731095e+00
    1.833969e+06    4.754106e+00
    1.834062e+06    4.758104e+00
    1.834341e+06    4.741185e+00
    1.834619e+06    4.685998e+00
    1.834805e+06    4.630589e+00
    1.835176e+06    4.489133e+00
    1.835547e+06    4.321342e+00
    1.836475e+06    3.873134e+00
    1.837031e+06    3.623677e+00
    1.837402e+06    3.473377e+00
    1.837773e+06    3.336539e+00
    1.838145e+06    3.212730e+00
    1.838516e+06    3.101310e+00
    1.839072e+06    2.955344e+00
    1.839629e+06    2.830223e+00
    1.840000e+06    2.757524e+00
    1.840547e+06    2.663107e+00
    1.841094e+06    2.581539e+00
    1.841641e+06    2.510834e+00
    1.842461e+06    2.421851e+00
    1.843281e+06    2.347787e+00
    1.844102e+06    2.286906e+00
    1.845469e+06    2.205650e+00
    1.846562e+06    2.154767e+00
    1.847656e+06    2.113218e+00
    1.849297e+06    2.064579e+00
    1.850937e+06    2.026770e+00
    1.853125e+06    1.990209e+00
    1.855313e+06    1.964678e+00
    1.857500e+06    1.947525e+00
    1.860781e+06    1.934696e+00
    1.861875e+06    1.932446e+00
    1.865156e+06    1.935796e+00
    1.868437e+06    1.949518e+00
    1.871719e+06    1.976909e+00
    1.873906e+06    2.002666e+00
    1.876094e+06    2.035776e+00
    1.877188e+06    2.054429e+00
    1.879375e+06    2.100654e+00
    1.881563e+06    2.157564e+00
    1.883750e+06    2.226836e+00
    1.885938e+06    2.310142e+00
    1.888125e+06    2.408767e+00
    1.890312e+06    2.522981e+00
    1.892500e+06    2.651027e+00
    1.896875e+06    2.923869e+00
    1.899063e+06    3.045213e+00
    1.900156e+06    3.095240e+00
    1.901250e+06    3.135380e+00
    1.902344e+06    3.164075e+00
    1.903438e+06    3.180185e+00
    1.904531e+06    3.183189e+00
    1.905625e+06    3.173232e+00
    1.906719e+06    3.151091e+00
    1.908359e+06    3.097194e+00
    1.910000e+06    3.026231e+00
    1.912974e+06    2.868633e+00
    1.917647e+06    2.612962e+00
    1.920195e+06    2.487077e+00
    1.922744e+06    2.377496e+00
    1.925293e+06    2.281423e+00
    1.927842e+06    2.200216e+00
    1.930391e+06    2.129748e+00
    1.933789e+06    2.051825e+00
    1.937187e+06    1.987937e+00
    1.940586e+06    1.935074e+00
    1.943984e+06    1.890858e+00
    1.949082e+06    1.837410e+00
    1.950781e+06    1.821475e+00
    1.957578e+06    1.769668e+00
    1.964375e+06    1.729408e+00
