    energy(eV)      sigma_s(b)
    4.215249e+07    2.056563e-01
    4.274719e+07    2.019842e-01
    4.298837e+07    2.004950e-01
    4.359486e+07    1.971493e-01
    4.420990e+07    1.937564e-01
    4.483363e+07    1.903156e-01
    4.498889e+07    1.894591e-01
    4.562360e+07    1.863288e-01
    4.626727e+07    1.831543e-01
    4.692001e+07    1.799351e-01
    4.698936e+07    1.795931e-01
    4.765230e+07    1.766633e-01
    4.832458e+07    1.736921e-01
    4.898979e+07    1.707522e-01
    4.968095e+07    1.680011e-01
    5.038186e+07    1.652113e-01
    5.099020e+07    1.627899e-01
    5.170958e+07    1.601898e-01
    5.243910e+07    1.575530e-01
    5.299057e+07    1.555598e-01
    5.373817e+07    1.531244e-01
    5.449632e+07    1.506546e-01
    5.526516e+07    1.481500e-01
    5.600000e+07    1.457561e-01
    5.679006e+07    1.434283e-01
    5.759126e+07    1.410676e-01
    5.840377e+07    1.386736e-01
    5.899152e+07    1.369419e-01
    5.982379e+07    1.347232e-01
    6.066780e+07    1.324733e-01
    6.152371e+07    1.301916e-01
    6.200000e+07    1.289219e-01
    6.287471e+07    1.268132e-01
    6.376176e+07    1.246748e-01
    6.466132e+07    1.225062e-01
    6.499231e+07    1.217083e-01
    6.590923e+07    1.197149e-01
    6.683909e+07    1.176934e-01
    6.778207e+07    1.156434e-01
    6.800000e+07    1.151696e-01
    6.895936e+07    1.132939e-01
    6.993225e+07    1.113917e-01
    7.091887e+07    1.094626e-01
    7.099296e+07    1.093178e-01
    7.199454e+07    1.075543e-01
    7.301025e+07    1.057659e-01
    7.400000e+07    1.040233e-01
    7.504401e+07    1.023738e-01
    7.610274e+07    1.007010e-01
    7.699351e+07    9.929356e-02
    7.807975e+07    9.777215e-02
    7.918131e+07    9.622927e-02
    8.029842e+07    9.466463e-02
    8.099383e+07    9.369062e-02
    8.213650e+07    9.228985e-02
    8.329530e+07    9.086931e-02
    8.447045e+07    8.942873e-02
    8.499412e+07    8.878678e-02
    8.619323e+07    8.748411e-02
    8.740926e+07    8.616306e-02
    8.864245e+07    8.482336e-02
    8.899438e+07    8.444104e-02
    9.024993e+07    8.322114e-02
    9.152320e+07    8.198403e-02
    9.281442e+07    8.072946e-02
    9.400000e+07    7.957755e-02
    9.532617e+07    7.842259e-02
    9.667105e+07    7.725133e-02
    9.803491e+07    7.606355e-02
    9.899495e+07    7.522745e-02
    1.003916e+08    7.416097e-02
    1.018079e+08    7.307945e-02
    1.024114e+08    7.261866e-02
    1.038562e+08    7.161990e-02
    1.053214e+08    7.060704e-02
    1.068073e+08    6.957989e-02
    1.074099e+08    6.916332e-02
    1.089253e+08    6.821007e-02
    1.104621e+08    6.724337e-02
    1.120205e+08    6.626303e-02
    1.124190e+08    6.601232e-02
    1.140051e+08    6.512041e-02
    1.156135e+08    6.421593e-02
    1.172446e+08    6.329868e-02
    1.188987e+08    6.236849e-02
    1.200000e+08    6.174916e-02
    1.216930e+08    6.104682e-02
    1.234099e+08    6.033457e-02
    1.251509e+08    5.961227e-02
    1.269166e+08    5.887978e-02
    1.274245e+08    5.866909e-02
    1.292222e+08    5.799994e-02
    1.310453e+08    5.732135e-02
    1.328941e+08    5.663319e-02
    1.347690e+08    5.593532e-02
    1.349074e+08    5.588381e-02
    1.368107e+08    5.523449e-02
    1.387408e+08    5.457601e-02
    1.400000e+08    5.414644e-02
    1.419751e+08    5.361486e-02
    1.439782e+08    5.307577e-02
    1.460094e+08    5.252909e-02
    1.480694e+08    5.197468e-02
    1.500000e+08    5.145508e-02
    1.521162e+08    5.094794e-02
    1.542623e+08    5.043365e-02
    1.564387e+08    4.991209e-02
    1.586457e+08    4.938319e-02
    1.600000e+08    4.905865e-02
    1.622573e+08    4.858417e-02
    1.645465e+08    4.810299e-02
    1.668679e+08    4.761503e-02
    1.692221e+08    4.712018e-02
    1.697056e+08    4.701855e-02
    1.720999e+08    4.656379e-02
    1.745279e+08    4.610263e-02
    1.769902e+08    4.563496e-02
    1.794872e+08    4.516068e-02
    1.800000e+08    4.506328e-02
    1.825395e+08    4.467039e-02
    1.851148e+08    4.427197e-02
    1.877264e+08    4.386792e-02
    1.903749e+08    4.345817e-02
    1.930607e+08    4.304263e-02
    1.948007e+08    4.277344e-02
    1.975490e+08    4.238380e-02
    2.000000e+08    4.203631e-02
