    energy(eV)      sigma_t(b)
    1.347690e+08    5.594644e-02
    1.349074e+08    5.589493e-02
    1.368107e+08    5.524555e-02
    1.387408e+08    5.458701e-02
    1.400000e+08    5.415740e-02
    1.419751e+08    5.362575e-02
    1.439782e+08    5.308660e-02
    1.460094e+08    5.253984e-02
    1.480694e+08    5.198537e-02
    1.500000e+08    5.146570e-02
    1.521162e+08    5.095850e-02
    1.542623e+08    5.044415e-02
    1.564387e+08    4.992254e-02
    1.586457e+08    4.939357e-02
    1.600000e+08    4.906900e-02
    1.622573e+08    4.859446e-02
    1.645465e+08    4.811322e-02
    1.668679e+08    4.762519e-02
    1.692221e+08    4.713027e-02
    1.697056e+08    4.702863e-02
    1.720999e+08    4.657382e-02
    1.745279e+08    4.611259e-02
    1.769902e+08    4.564485e-02
    1.794872e+08    4.517052e-02
    1.800000e+08    4.507310e-02
    1.825395e+08    4.468015e-02
    1.851148e+08    4.428165e-02
    1.877264e+08    4.387753e-02
    1.903749e+08    4.346770e-02
    1.930607e+08    4.305210e-02
    1.948007e+08    4.278286e-02
    1.975490e+08    4.239315e-02
    2.000000e+08    4.204560e-02
