0,coeff1,coeff2,coeff3,coeff4,coeff5,coeff6,coeff7,coeff8,coeff9,coeff10
260000.0,-0.12836,0.0033474,0.00057579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280000.0,-0.14823,0.0054608,0.00081758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300000.0,-0.17077,0.0088326,0.001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310000.0,-0.18299,0.011233,0.0013664,-1.0106e-05,0.0,0.0,0.0,0.0,0.0,0.0
320000.0,-0.19569,0.014308,0.0016169,-1.1425e-05,0.0,0.0,0.0,0.0,0.0,0.0
330000.0,-0.20856,0.018269,0.0019099,-1.2801e-05,0.0,0.0,0.0,0.0,0.0,0.0
340000.0,-0.22105,0.023403,0.0022498,-1.419e-05,0.0,0.0,0.0,0.0,0.0,0.0
350000.0,-0.23217,0.030093,0.0026386,-1.552e-05,0.0,0.0,0.0,0.0,0.0,0.0
360000.0,-0.24021,0.038833,0.003072,-1.6682e-05,0.0,0.0,0.0,0.0,0.0,0.0
370000.0,-0.24228,0.050229,0.0035317,-1.7513e-05,0.0,0.0,0.0,0.0,0.0,0.0
380000.0,-0.23379,0.064924,0.0039737,-1.779e-05,0.0,0.0,0.0,0.0,0.0,0.0
390000.0,-0.208,0.083348,0.0043079,-1.7256e-05,0.0,0.0,0.0,0.0,0.0,0.0
400000.0,-0.15638,0.10517,0.0043795,-1.5714e-05,0.0,0.0,0.0,0.0,0.0,0.0
405000.0,-0.1184,0.11681,0.0042506,-1.4576e-05,0.0,0.0,0.0,0.0,0.0,0.0
410000.0,-0.071668,0.12837,0.0039738,-1.3265e-05,0.0,0.0,0.0,0.0,0.0,0.0
415000.0,-0.016575,0.13922,0.0035257,-1.1893e-05,0.0,0.0,0.0,0.0,0.0,0.0
420000.0,0.045458,0.14864,0.0028948,-1.0622e-05,0.0,0.0,0.0,0.0,0.0,0.0
425000.0,0.11194,0.15589,0.0020868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430000.0,0.17952,0.16038,0.001128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435000.0,0.24447,0.16178,6.281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440000.0,0.30337,0.16007,-0.001053,-1.0362e-05,0.0,0.0,0.0,0.0,0.0,0.0
445000.0,0.35363,0.15557,-0.0021623,-1.2188e-05,0.0,0.0,0.0,0.0,0.0,0.0
450000.0,0.39384,0.14882,-0.0032164,-1.4816e-05,0.0,0.0,0.0,0.0,0.0,0.0
455000.0,0.42376,0.14047,-0.0041803,-1.8161e-05,0.0,0.0,0.0,0.0,0.0,0.0
460000.0,0.44403,0.13115,-0.0050345,-2.211e-05,0.0,0.0,0.0,0.0,0.0,0.0
465000.0,0.45591,0.1214,-0.005773,-2.6548e-05,0.0,0.0,0.0,0.0,0.0,0.0
470000.0,0.46084,0.11166,-0.0063994,-3.1367e-05,0.0,0.0,0.0,0.0,0.0,0.0
475000.0,0.46032,0.10221,-0.0069238,-3.6482e-05,0.0,0.0,0.0,0.0,0.0,0.0
480000.0,0.45568,0.093249,-0.0073589,-4.1827e-05,0.0,0.0,0.0,0.0,0.0,0.0
485000.0,0.44804,0.084877,-0.0077183,-4.7358e-05,0.0,0.0,0.0,0.0,0.0,0.0
490000.0,0.43833,0.077136,-0.008015,-5.3045e-05,0.0,0.0,0.0,0.0,0.0,0.0
495000.0,0.42726,0.070028,-0.0082605,-5.8873e-05,0.0,0.0,0.0,0.0,0.0,0.0
500000.0,0.41537,0.063528,-0.0084649,-6.4836e-05,0.0,0.0,0.0,0.0,0.0,0.0
510000.0,0.39063,0.052188,-0.0087828,-7.7177e-05,0.0,0.0,0.0,0.0,0.0,0.0
520000.0,0.36615,0.042748,-0.0090199,-9.0128e-05,0.0,0.0,0.0,0.0,0.0,0.0
530000.0,0.34292,0.034843,-0.0092101,-0.00010379,0.0,0.0,0.0,0.0,0.0,0.0
540000.0,0.32136,0.028156,-0.0093753,-0.00011828,0.0,0.0,0.0,0.0,0.0,0.0
550000.0,0.30155,0.022433,-0.0095296,-0.00013372,0.0,0.0,0.0,0.0,0.0,0.0
560000.0,0.28344,0.017472,-0.0096821,-0.00015025,0.0,0.0,0.0,0.0,0.0,0.0
570000.0,0.26691,0.013114,-0.0098386,-0.00016799,0.0,0.0,0.0,0.0,0.0,0.0
580000.0,0.25181,0.0092353,-0.010003,-0.0001871,0.0,0.0,0.0,0.0,0.0,0.0
