    energy(eV)      sigma_a(b)
    4.833495e+05    1.975470e-04
    4.854900e+05    1.890700e-04
    4.883500e+05    1.791000e-04
    4.904945e+05    1.723360e-04
    4.933545e+05    1.642650e-04
    4.962145e+05    1.570930e-04
    4.983600e+05    1.522240e-04
    5.000000e+05    1.492400e-04
    1.000000e+06    1.000020e-04
    1.021262e+06    1.000000e-04
    1.118599e+06    1.000000e-04
    1.126490e+06    1.000000e-04
    1.158499e+06    1.000000e-04
    1.208227e+06    1.000000e-04
    1.268916e+06    1.000000e-04
    1.277867e+06    1.000000e-04
    1.323384e+06    1.000000e-04
    1.332719e+06    1.000000e-04
    1.399662e+06    1.000000e-04
    1.409535e+06    1.000000e-04
    1.576704e+06    1.000000e-04
    1.587749e+06    1.000000e-04
    1.598949e+06    1.000000e-04
    1.739163e+06    1.000000e-04
    1.878422e+06    1.000000e-04
    1.891673e+06    1.000000e-04
    1.986691e+06    1.000000e-04
    2.000706e+06    1.000000e-04
    2.761353e+06    1.000000e-04
    3.289766e+06    1.000000e-04
    3.312972e+06    1.000000e-04
    3.479383e+06    1.000000e-04
    3.503927e+06    1.000000e-04
    3.679928e+06    1.000000e-04
    3.705887e+06    1.000000e-04
    4.540501e+06    1.000000e-04
    4.572530e+06    1.000000e-04
    5.008341e+06    1.000000e-04
    5.043670e+06    1.000000e-04
    5.078999e+06    1.000000e-04
    5.114827e+06    1.000000e-04
    5.260167e+06    1.000000e-04
    5.967030e+06    1.000000e-04
    6.136585e+06    1.000000e-04
    6.266753e+06    1.000000e-04
    6.310959e+06    1.000000e-04
    6.490288e+06    1.000000e-04
    6.961221e+06    1.000000e-04
    7.108881e+06    1.000000e-04
    7.159027e+06    1.000000e-04
    7.362454e+06    1.000000e-04
    9.147839e+06    1.000000e-04
    9.212369e+06    1.000000e-04
    9.407779e+06    1.000000e-04
    9.474142e+06    1.000000e-04
    1.002022e+07    1.000000e-04
    1.009040e+07    1.000000e-04
    1.023276e+07    1.000000e-04
    1.037713e+07    1.000000e-04
    1.052353e+07    1.000000e-04
    1.067200e+07    1.000000e-04
    1.082256e+07    1.000000e-04
    1.097525e+07    1.000000e-04
    1.113009e+07    1.000000e-04
    1.128711e+07    1.000000e-04
    1.144636e+07    1.000000e-04
    1.160784e+07    1.000000e-04
    1.177161e+07    1.000000e-04
    1.193768e+07    1.000000e-04
    1.210610e+07    1.000000e-04
    1.227690e+07    1.000000e-04
    1.245010e+07    1.000000e-04
    1.262575e+07    1.000000e-04
    1.280388e+07    1.000000e-04
    1.298452e+07    1.000000e-04
    1.316771e+07    1.000000e-04
