eV	Coeff1	Coeff2	Coeff3	Coeff4	Coeff5	Coeff6
950000.0	-0.0005710355	-1.222092e-05	-1.474653e-07	6.55297e-10	1.80581e-12	-1.11901e-13
1000000.0	-0.0005949241	-1.37812e-05	-1.739117e-07	8.26192e-10	2.33759e-12	-1.08658e-13
1100000.0	-0.0006438425	-1.71771e-05	-2.360433e-07	1.270662e-09	3.82498e-12	-9.46691e-14
1200000.0	-0.0006945653	-2.092982e-05	-3.115701e-07	1.88208e-09	6.05917e-12	-6.64083e-14
1300000.0	-0.0007473521	-2.502567e-05	-4.017639e-07	2.701052e-09	9.30571e-12	-1.72235e-14
1400000.0	-0.0008023906	-2.944984e-05	-5.078719e-07	3.773611e-09	1.38914e-11	6.18766e-14
1500000.0	-0.0008598134	-3.418663e-05	-6.311154e-07	5.151432e-09	2.02118e-11	1.82739e-13
1600000.0	-0.0009197107	-3.921969e-05	-7.726886e-07	6.892053e-09	2.87395e-11	3.60427e-13
1700000.0	-0.0009821394	-4.453217e-05	-9.33758e-07	9.059075e-09	4.00319e-11	6.14177e-13
1800000.0	-0.00104713	-5.010688e-05	-1.115462e-06	1.172236e-08	5.47398e-11	9.67731e-13
1900000.0	-0.001114694	-5.592634e-05	-1.31891e-06	1.495823e-08	7.3616e-11	1.45037e-12
2000000.0	-0.001184825	-6.19729e-05	-1.545183e-06	1.884963e-08	9.75237e-11	2.09769e-12
2200000.0	-0.001332704	-7.467609e-05	-2.070384e-06	2.896495e-08	1.64494e-10	4.06558e-12
2400000.0	-0.001490512	-8.807343e-05	-2.699131e-06	4.287077e-08	2.6511e-10	7.31839e-12
2600000.0	-0.001657886	-0.0001020217	-3.439029e-06	6.148568e-08	4.11178e-10	1.24706e-11
2800000.0	-0.001834403	-0.0001163783	-4.297226e-06	8.584875e-08	6.17152e-10	2.03452e-11
3000000.0	-0.002019599	-0.0001310016	-5.280414e-06	1.171233e-07	9.00424e-10	3.20204e-11
3200000.0	-0.002212991	-0.0001457513	-6.394844e-06	1.566001e-07	1.281627e-09	4.88819e-11
3400000.0	-0.002414087	-0.0001604889	-7.64633e-06	2.057005e-07	1.784923e-09	7.26818e-11
3600000.0	-0.002622393	-0.0001750776	-9.040262e-06	2.659783e-07	2.438297e-09	1.05604e-10
3800000.0	-0.002837417	-0.0001893824	-1.058161e-05	3.391218e-07	3.273828e-09	1.50334e-10
4000000.0	-0.003058676	-0.0002032704	-1.227496e-05	4.269555e-07	4.327968e-09	2.10138e-10
4200000.0	-0.003285696	-0.0002166107	-1.412449e-05	5.314405e-07	5.641793e-09	2.88951e-10
4400000.0	-0.003518013	-0.0002292743	-1.613402e-05	6.546753e-07	7.261251e-09	3.91462e-10
4600000.0	-0.003755174	-0.0002411346	-1.830698e-05	7.98896e-07	9.237388e-09	5.23218e-10
4800000.0	-0.003996738	-0.0002520669	-2.06465e-05	9.664757e-07	1.162656e-08	6.9073e-10
5000000.0	-0.004242277	-0.0002619485	-2.315533e-05	1.159924e-06	1.449061e-08	9.01584e-10
5200000.0	-0.004491374	-0.000270659	-2.583595e-05	1.381884e-06	1.789708e-08	1.164564e-09
5400000.0	-0.004743623	-0.0002780801	-2.86905e-05	1.635136e-06	2.191928e-08	1.489781e-09
5600000.0	-0.004998632	-0.0002840956	-3.172087e-05	1.922589e-06	2.663651e-08	1.888806e-09
5800000.0	-0.005256019	-0.0002885913	-3.492866e-05	2.247281e-06	3.213405e-08	2.374816e-09
6000000.0	-0.005515414	-0.0002914554	-3.831524e-05	2.61238e-06	3.850333e-08	2.962745e-09
6200000.0	-0.005776457	-0.0002925779	-4.188175e-05	3.021175e-06	4.584191e-08	3.669441e-09
6400000.0	-0.0060388	-0.0002918512	-4.562908e-05	3.477077e-06	5.425349e-08	4.513834e-09
6600000.0	-0.006302103	-0.0002891697	-4.955797e-05	3.983612e-06	6.384792e-08	5.517106e-09
